abbinden	binden	ab
abblättern	blättern	ab
abfilmen	filmen	ab
abfischen	fischen	ab
abflachen	flachen	ab
abflauen	flauen	ab
abfliegen	fliegen	ab
abformen	formen	ab
abgießen	gießen	ab
abjagen	jagen	ab
abkapseln	kapseln	ab
abkassieren	kassieren	ab
abkehren	kehren	ab
abknöpfen	knöpfen	ab
abkommandieren	kommandieren	ab
abkratzen	kratzen	ab
ableisten	leisten	ab
abliefern	liefern	ab
abmachen	machen	ab
abmagern	magern	ab
abmühen	mühen	ab
abnabeln	nabeln	ab
abnutzen	nutzen	ab
abrasieren	rasieren	ab
absagen	sagen	ab
absammeln	sammeln	ab
abschicken	schicken	ab
abschleifen	schleifen	ab
abschreiten	schreiten	ab
abschweifen	schweifen	ab
abschwellen	schwellen	ab
absegnen	segnen	ab
absichern	sichern	ab
abstechen	stechen	ab
abstempeln	stempeln	ab
abstützen	stützen	ab
absägen	sägen	ab
abtauen	tauen	ab
abteilen	teilen	ab
abtrotzen	trotzen	ab
abtun	tun	ab
abwickeln	wickeln	ab
abwiegeln	wiegeln	ab
abwiegen	wiegen	ab
abwinken	winken	ab
abwählen	wählen	ab
abzupfen	zupfen	ab
anbaggern	baggern	an
anblasen	blasen	an
anbleiben	bleiben	an
anblicken	blicken	an
anbändeln	bändeln	an
andenken	denken	an
andeuten	deuten	an
andocken	docken	an
andrehen	drehen	an
anfassen	fassen	an
anfeinden	feinden	an
anfliegen	fliegen	an
anfordern	fordern	an
anfressen	fressen	an
anfärben	färben	an
anfüllen	füllen	an
angelangen	gelangen	an
angurten	gurten	an
anhaften	haften	an
anhängen	hängen	an
anketten	ketten	an
anklingen	klingen	an
ankratzen	kratzen	an
ankuppeln	kuppeln	an
ankämpfen	kämpfen	an
anlagern	lagern	an
anleuchten	leuchten	an
anmachen	machen	an
anmahnen	mahnen	an
anmischen	mischen	an
anmoderieren	moderieren	an
anpeilen	peilen	an
anpfeifen	pfeifen	an
anprobieren	probieren	an
anrechnen	rechnen	an
anreichern	reichern	an
anrollen	rollen	an
anrühren	rühren	an
anschnallen	schnallen	an
ansehen	sehen	an
anspucken	spucken	an
ansteuern	steuern	an
anstiften	stiften	an
anstreben	streben	an
anzahlen	zahlen	an
anzählen	zählen	an
anöden	öden	an
aufbahren	bahren	auf
aufbauschen	bauschen	auf
aufbessern	bessern	auf
aufblähen	blähen	auf
aufbohren	bohren	auf
aufbrauchen	brauchen	auf
aufbrühen	brühen	auf
aufbäumen	bäumen	auf
aufdrängen	drängen	auf
aufforsten	forsten	auf
auffressen	fressen	auf
aufhaben	haben	auf
aufhorchen	horchen	auf
aufhäufen	häufen	auf
aufklaren	klaren	auf
aufklären	klären	auf
aufkochen	kochen	auf
auflachen	lachen	auf
aufleben	leben	auf
auflehnen	lehnen	auf
auflockern	lockern	auf
aufmischen	mischen	auf
aufnehmen	nehmen	auf
aufpflanzen	pflanzen	auf
aufragen	ragen	auf
aufrüsten	rüsten	auf
aufsatteln	satteln	auf
aufschauen	schauen	auf
aufschaukeln	schaukeln	auf
aufscheinen	scheinen	auf
aufscheuchen	scheuchen	auf
aufschneiden	schneiden	auf
aufsparen	sparen	auf
aufsperren	sperren	auf
aufspießen	spießen	auf
aufsplittern	splittern	auf
aufsprengen	sprengen	auf
aufspritzen	spritzen	auf
aufstapeln	stapeln	auf
aufstufen	stufen	auf
aufstöbern	stöbern	auf
auftischen	tischen	auf
auftreffen	treffen	auf
auftrennen	trennen	auf
aufwarten	warten	auf
ausbilden	bilden	aus
ausbohren	bohren	aus
ausbuchen	buchen	aus
ausdehnen	dehnen	aus
ausdifferenzieren	differenzieren	aus
ausdrehen	drehen	aus
ausformulieren	formulieren	aus
ausgießen	gießen	aus
ausgreifen	greifen	aus
ausgründen	gründen	aus
aushelfen	helfen	aus
aushorchen	horchen	aus
ausklappen	klappen	aus
ausklinken	klinken	aus
auskochen	kochen	aus
auskratzen	kratzen	aus
auskühlen	kühlen	aus
ausladen	laden	aus
auslassen	lassen	aus
auslernen	lernen	aus
ausloten	loten	aus
ausmauern	mauern	aus
ausmustern	mustern	aus
ausnützen	nützen	aus
auspendeln	pendeln	aus
auspflanzen	pflanzen	aus
auspressen	pressen	aus
auspumpen	pumpen	aus
ausreizen	reizen	aus
