target,pos,context,context_pos,freq,lmi,
%,NN,%,NN,45218,121024.016816529,
%,NN,about,ADV,113392,334821.917842156,
%,NN,almost,ADV,20098,41879.4458499526,
%,NN,approximately,ADV,30612,129979.14805768,
%,NN,around,ADV,34853,122232.462161891,
%,NN,as,P,40174,-12302.6365496095,
%,NN,at,P,91991,63594.2526197254,
%,NN,be,V,282241,-82430.8258095221,
%,NN,between,P,20780,24473.4278433397,
%,NN,by,P,148014,160158.589596779,
%,NN,for,P,114235,10895.9875108823,
%,NN,from,P,95226,71080.9374077498,
%,NN,have,V,48870,-40252.8090010979,
%,NN,in,P,256096,81141.1246279106,
%,NN,increase,NN,35220,122713.002923402,
%,NN,just,ADV,25176,13200.8414768426,
%,NN,least,ADJ,27020,58679.4382907917,
%,NN,more,ADJ,31660,27134.8567437288,
%,NN,nearly,ADV,21421,63626.9001938743,
%,NN,not,ADV,25145,-15307.1437201321,
%,NN,of,P,1246906,1820637.18550878,
%,NN,on,P,74995,-340.024818842377,
%,NN,only,ADV,82580,169291.644061435,
%,NN,over,P,74097,153478.905117316,
%,NN,people,NN,22264,6295.91914003042,
%,NN,rate,NN,25770,60445.8516581969,
%,NN,say,V,29921,21691.312517419,
%,NN,than,P,140056,295589.72549564,
%,NN,that,P,86388,20195.0868605445,
%,NN,with,P,93131,19481.7191018461,
%,NN,year,NN,30959,24100.4430397736,
Anyone,NN,have,V,27164,46122.8322138637,
Bible,NN,be,V,35545,13816.8923193435,
Bible,NN,in,P,41388,51611.3708592846,
Bible,NN,of,P,36741,25290.0130907379,
CD,NN,be,V,39241,-1970.26235373453,
CD,NN,of,P,33765,2229.03910230256,
CD,NN,on,P,34550,49591.0092122339,
CEO,NN,of,P,57231,87805.6239275929,
Christian,NN,be,V,64050,24527.8364548202,
Christian,NN,in,P,24084,2671.82837949164,
Christian,NN,of,P,39530,6596.25303120115,
Christian,NN,that,P,22323,23185.6614019015,
Christianity,NN,be,V,33989,7467.2297121409,
Christianity,NN,of,P,52177,47732.7312073088,
DNA,NN,of,P,31265,19684.8820458594,
Dem,NN,Lib,NE,29081,297484.794454322,
English,NN,in,P,39051,71801.7975931352,
English,NN,plain,ADJ,27535,220718.068693135,
Everyone,NN,be,V,51570,44406.0688021466,
Everyone,NN,have,V,30468,47432.7334207401,
Everything,NN,be,V,58511,77852.6143684962,
Feb,NN,on,P,26941,69680.4878793086,
GB,NN,of,P,23827,27630.4458958267,
GP,NN,be,V,20730,-1425.74993246951,
Hon,NN,right,ADJ,32888,217348.096004076,
I,NN,be,V,43939,5688.13040174362,
Internet,NN,access,NN,50857,228583.770494613,
Internet,NN,as,P,24052,5536.24474208444,
Internet,NN,be,V,113697,-17267.0257067977,
Internet,NN,connection,NN,32178,148676.776366197,
Internet,NN,for,P,52919,19860.5397421634,
Internet,NN,from,P,28909,17454.051629516,
Internet,NN,have,V,42434,3586.8983726383,
Internet,NN,in,P,48906,-14153.3853267679,
Internet,NN,of,P,118089,18015.146654831,
Internet,NN,on,P,197741,398332.731374111,
Internet,NN,over,P,33585,78234.324549798,
Internet,NN,service,NN,22141,52279.8915345657,
Internet,NN,that,P,22361,-1528.25581421527,
Internet,NN,use,V,35945,66570.3073326564,
Internet,NN,via,P,21164,85507.310246847,
Internet,NN,with,P,33814,8300.24862537067,
Jew,NN,be,V,36367,12479.7580722452,
Jew,NN,of,P,28093,9875.90220284755,
MP,NN,be,V,25016,-7611.2612310387,
MP,NN,for,P,25319,25312.1095775074,
Mrs,NN,be,V,33608,-14660.0106409583,
Mrs,NN,of,P,29324,-8974.34406997239,
Mrs,NN,say,V,22820,55632.4001371987,
Ms,NN,be,V,20256,-8643.57594724234,
Muslim,NN,be,V,28295,10213.0434575522,
NHS,NN,Trust,NE,23918,150890.282006359,
NHS,NN,be,V,34194,-11910.8214162612,
NHS,NN,for,P,26305,17922.180517305,
NHS,NN,in,P,42897,25074.4505547001,
NHS,NN,of,P,41454,4590.04985954643,
P,NN,P,NN,34902,236103.90277854,
P,NN,be,V,30599,-10410.4372756359,
P,NN,of,P,22647,-8484.43866998372,
PC,NN,be,V,39601,-4237.18098314766,
PC,NN,for,P,23025,14797.5571811005,
PC,NN,of,P,25076,-7458.03062150231,
PC,NN,on,P,42397,66736.7199512032,
Police,NN,be,V,20220,11859.4525250312,
S,NN,be,V,39383,-13985.8579248865,
S,NN,in,P,29541,1873.68461755412,
S,NN,of,P,34070,-7955.97055961339,
Sunday,NN,on,P,21375,60492.621252138,
T,NN,at,NN,36237,300720.702616552,
T,NN,be,V,38497,-10888.2239148901,
T,NN,of,P,23173,-12140.3963428155,
TV,NN,be,V,62438,-33712.9352766714,
TV,NN,for,P,33365,4181.79873386683,
TV,NN,have,V,23302,-7074.31719772893,
TV,NN,in,P,47139,-5416.74370079872,
TV,NN,of,P,56446,-21128.2641586697,
TV,NN,on,P,120398,208234.417648028,
TV,NN,series,NN,27757,113326.685615154,
TV,NN,show,NN,54402,259084.629734313,
TV,NN,watch,V,32275,138589.427816574,
TV,NN,with,P,35588,18074.8088836752,
Thank,NN,again,ADV,30296,125270.671145331,
Thank,NN,for,P,334059,1051890.17974686,
Thank,NN,much,ADV,25079,81850.8298487691,
V,NN,be,V,27075,-6031.39101970202,
V,NN,of,P,20945,-4460.32149897128,
a.m.,NN,at,P,26396,83041.3008221636,
ability,NN,be,V,83569,-40560.5802874199,
ability,NN,for,P,29612,-6837.50660174126,
ability,NN,have,V,101166,93853.7687148375,
ability,NN,in,P,49380,-15079.4467808895,
ability,NN,make,V,21848,22778.2149037631,
ability,NN,of,P,163375,73771.0092840715,
ability,NN,on,P,28011,964.544015918621,
ability,NN,with,P,43688,20797.4602890031,
abolition,NN,of,P,31801,67010.2189822308,
abortion,NN,be,V,31976,5024.33521263366,
abortion,NN,of,P,24262,3580.51168240367,
absence,NN,in,P,94174,146440.722455758,
absence,NN,of,P,211976,408424.228112203,
abundance,NN,in,P,22350,26489.3427249906,
abundance,NN,of,P,54727,89815.3974563193,
abuse,NN,be,V,45192,-16852.6062962662,
abuse,NN,child,NN,38270,141577.762668749,
abuse,NN,in,P,25586,-6030.11065144272,
abuse,NN,of,P,150586,165226.858390027,
abuse,NN,sexual,ADJ,32535,183502.650402392,
acceptance,NN,of,P,80190,124067.52825621,
access,NN,Internet,NN,50857,228583.770494613,
access,NN,allow,V,28804,80045.2815407827,
access,NN,be,V,94472,-69462.5962346985,
access,NN,easy,ADJ,54993,203333.977809312,
access,NN,for,P,92994,50300.8073538425,
access,NN,free,ADJ,23332,61773.8416698288,
access,NN,from,P,21360,-2072.86040623697,
access,NN,gain,V,35390,152042.418865918,
access,NN,get,V,31372,37704.0039205496,
access,NN,give,V,39565,84098.5241861088,
access,NN,have,V,254724,376632.379207722,
access,NN,in,P,31902,-35564.3698567807,
access,NN,information,NN,25583,56631.251032625,
access,NN,not,ADV,22826,-1238.75493524165,
access,NN,of,P,92788,-45163.1729313787,
access,NN,on,P,23429,-12106.619645394,
access,NN,open,ADJ,25112,81459.9867055789,
access,NN,provide,V,64660,182883.800643373,
access,NN,public,ADJ,24950,64553.9963079294,
access,NN,with,P,67807,36825.2258310631,
accident,NN,be,V,51650,-5236.94948252857,
accident,NN,by,P,37375,59601.2338256876,
accident,NN,car,NN,20795,79689.4041881929,
accident,NN,have,V,23734,8141.00307467515,
accident,NN,in,P,52299,32278.941605966,
accident,NN,of,P,58361,16766.3881756795,
accommodation,NN,be,V,44953,-7603.61075881353,
accommodation,NN,for,P,46275,53298.7429135574,
accommodation,NN,in,P,67222,63144.5303604251,
